Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-03-27,The Art of Self-Defense,2019,https://boxd.it/1Kuxe3,4,,"Fight club descendent. An indie film with great deadpan. Hits you over the head with its tropes but still quite enjoyable. And of course the obligatory Poots. 

Favourite Quote(s):

<i>“This is your belt. It is yours. It is sacred. There'll be a $15 charge to replace a lost belt”</i> - Sensei

<i>“Kick with your fists and punch with your feet.” - </i>Sensei",,2021-03-25
2021-03-27,Pineapple Express,2008,https://boxd.it/1KzyCP,3.5,Yes,"Nice

Favourite Quote:

<i>“I used to use this little gun when I was a prostitute.”</i> - Red",the boys,2021-03-26
2021-03-28,Spider-Man: Far from Home,2019,https://boxd.it/1KEDpB,3,,The action sequences with the simulations were pretty dope. Petter-tingles were neat too.,,2021-03-27
2021-03-28,Pokémon Detective Pikachu,2019,https://boxd.it/1KG8aJ,2.5,,Only real redeemable part about this is the animation. Took advantage of nostalgia. Wish the story was a little more coherent.,,2021-03-21
2021-03-29,Bad Trip,2021,https://boxd.it/1KNpV7,3.5,,"Classic Eric Andre show sketches linked together. Also strong Borat vibes. 

Favourite Quote:

<i>“🎶New York! Concrete jungle, Texas albino. My p*ssy’s on fire!🎶”</i> - Chris",,2021-03-27
2021-04-11,Glass,2019,https://boxd.it/1MKTZb,3,,"James McAvoy rifling through personalities is legitness 😎

Favourite Quote:

<i>“Oh, mama. This is not a limited edition. This was an origin story the whole time.” </i>- Elijah/Mr.Glass",,2021-04-10
2021-04-12,Silver Linings Playbook,2012,https://boxd.it/1MQqX3,4,Yes,"It’s a Christmas miracle. A parlay that wins. 

Favourite Quote:

<i>“The only way to beat my crazy was by doing something even crazier. Thank you. I love you. I knew it from the moment I saw you. I’m sorry it took me so long to catch up.” </i>- Pat",,2021-04-10
2021-04-20,Save Ralph,2021,https://boxd.it/1O3vgX,,,"Great short animation with a powerful message about animal testing in the beauty industry. Check it out here: <a href=""https://www.instagram.com/tv/CNVlIuxpZZG/?igshid=vxa66gftdowv"" title=""https://www.instagram.com/tv/CNVlIuxpZZG/?igshid=vxa66gftdowv"">https://www.instagram.com/tv/CNVlIuxpZZG/?igshid=vxa66gftdowv</a>",,2021-04-19
2021-04-26,Words on Bathroom Walls,2020,https://boxd.it/1OXaqp,3,,"It got good RT reviews so I thought I would check it out. I was sceptical because of the poster and title. Parts of the story are very cliché/overdone/inaccurate but was still pleasantly surprised. I feel like the book version likely went more in depth and tackled more nuanced aspects of having a mental illness. 

Favourite Quote:

“<i>I’m part of an elite club they call treatment resistant.” - </i>Adam",,2021-04-25
2021-05-02,Avatar,2009,https://boxd.it/1PLOHv,3.5,,Watched with the boys. Jokes time. Papyrus™️,the boys,2021-05-01
2021-05-05,Get Smart,2008,https://boxd.it/1QetQp,3,Yes,Classic,,2021-05-04
2021-05-06,The Mitchells vs. The Machines,2021,https://boxd.it/1QiDxF,3.5,,"Animation style is fairly unique and fun. Story isn’t super original but it makes up for this with entertaining and well-developed characters and relationships. I found the humour was surprisingly decent and had some solid wholesome/dad jokes. Overall, good time.


Edit: Almost forgot. I’m kinda here for Danny McBride voice acting more. The dude’s voice is incredibly recognizable though and compared to his other performances, this character is Charmin™️ which was almost distracting.",,2021-05-05
2021-05-07,Nightcrawler,2014,https://boxd.it/1QsHC5,4,,"Finally got around to this. Offers an interesting critique of the news and it’s consumption. Also has a blunt perspective on interning and job security (especially relevant to myself now that I am on the job hunt). For such an unhinged character, it’s wild that he only has one real outburst shown on screen. 

Favourite Quote(s):

<i>“Well, I'm Rick, of course. I took three buses to get here. I finished high school. I need a job. I'll do just about anything. That's me. Hire Rick.” </i>- Rick

“<i>That's my job, that's what I do, I'd like to think if you're seeing me you're having the worst day of your life.”</i> - Lou",,2021-05-06
2021-05-24,The Hitman's Bodyguard,2017,https://boxd.it/1SF3Fd,2.5,,The Wilhelm scream was my only takeaway from this movie,,2021-05-23
2021-05-31,Catch Me If You Can,2002,https://boxd.it/1TAzdJ,4,Yes,"A real smooth criminal. 

Favourite Quote(s):

<i>“Do you concur?”</i> - Frank

<i>“My name is Frank Abagnale. No Abagnalee not Abagnaylee but Abanale!” - </i>Frank",,2021-05-29
